"count";"username";"datetime";"text"
"1144";"fati981313";"00:40:50 20-12-2020";"@bano___1363"
"1145";"goli88a";"00:40:51 20-12-2020";"خداقوت و وخسته نباشید به شما عزیزان مدافع سلامت💚💚"
"1146";"fati981313";"00:40:53 20-12-2020";"@love____s69"
"1147";"fati981313";"00:40:56 20-12-2020";"@forozan1399"
"1148";"fazli51608894";"00:41:14 20-12-2020";"روز پرستار وشب یلدا رو به تمام پرستاران فداکار بیمارستان بانک ملی تبریک عرض میکنم. تشکر میکنم بابت روز هایی که توی شعبه ها از من و سایر همکاران عزیز تست گرفتید تا حافط سلامتی ما باشید. ممنون بابت زحماتی که توی بیمارستان میکشید برای بازگشت سلامت به تن همکاران و خانواده ایشان!ممنون که هستید.....🌹🌹🌹"
"1149";"dr_hakimpour";"00:42:06 20-12-2020";"🌹"
"1150";"reza.drik.75";"00:42:25 20-12-2020";"پرستار خداقوت ❤️"
"1151";"reza.drik.75";"00:42:47 20-12-2020";"پرستار خداقوت ❤️"
"1152";"hadimirzaei60";"00:43:16 20-12-2020";"دست خدا به همراهت‌ای دست سرشار از عاطفه و مهر دعای همه دردمندان بدرقه راهت‌ای سینه لبریز از ایمان و یقین دستت همیشه گرم‌ای نگران چشم‌های خسته و بیمار خدا پشت و پناهت‌ای باغبان گل‌های پژمرده و شاخه‌های شکسته نسیم رضایت خدا گوارای وجودت‌ای جلوه‌گاه فداکاری و صبر‌ای اسوه نیکوکاری،‌ای پرستار روزت مبارک"
"1153";"mnadbn";"00:44:45 20-12-2020";"تنتون سلامت باشه فرشته های مهربون"
"1154";"sajede_skincare";"00:46:19 20-12-2020";"مرسی از بانک ملی"
"1155";"sahar.nse";"00:47:10 20-12-2020";"فرشتگانی هستند از جنس مروارید در صدف و همیشه میدرخشند💎💙"
"1156";"imaaggg";"00:47:31 20-12-2020";"روزپرستاروبه تمام پرستارهای دنیاوبخصوص پرستارهای میهن عزیزم تبریک عرض میکنم وخداقوت ❤❤❤❤❤💞💞🌸🌸🌸🌸سختی های زیادی وتحمل کردین دورازخانواده واسترس فراوان خداونداجرانایت کند به همگی شما"
"1157";"imaaggg";"00:47:42 20-12-2020";"یلداتونم مبارک هم میهن"
"1158";"mohamad_mohamadi103";"00:49:32 20-12-2020";"من قدر دان زحمات شما هستم 😍😍😍"
"1159";"naziam40";"00:49:38 20-12-2020";"خسته نباشن واقعا، ایشالله روزای خوب زودتر میان❤️✨"
"1160";"saman_boy111";"00:49:40 20-12-2020";"@call.me.naz12"
"1161";"zeinab.rahimi74";"00:49:43 20-12-2020";"روزتون مبارک😍"
"1162";"nasim_ebrahimzadeh";"00:49:43 20-12-2020";"@shirin_kshahidi"
"1163";"saman_boy111";"00:49:47 20-12-2020";"@aly_soly77"
"1164";"nasim_ebrahimzadeh";"00:49:59 20-12-2020";"@_samira__y.d"
"1165";"saman_boy111";"00:50:15 20-12-2020";"@miss_narin___2018_"
"1166";"saman_boy111";"00:50:20 20-12-2020";"@maya57._"
"1167";"moohammadi_57";"00:50:29 20-12-2020";"فرشته های روی زمین روزتون مبارک💋😍❤️"
"1168";"saman_boy111";"00:50:45 20-12-2020";"@mehr___banam"
